productHandle,productTitle,shopifySku,supplierSku,supplierMatchStatus,productType,sourceMode,hasShopifyFactsImage,shopifyFactsImageUrlsCount,hasSupplierFactsImage,supplierFactsImageUrlsCount,hasTemplateLabelAsset,hasMockupAsset,hasAiLabelTextEvidence,aiLabelTextStatus,hasOcrEvidence,hasStructuredSupplementFactsInArtifacts,hasStructuredSupplementFactsInDb,hasSupplementFactsInCopywritingInput,servingSizePresentInArtifacts,servingSizePresentInDb,servingSizePresentInInput,servingsPerContainerPresentInArtifacts,servingsPerContainerPresentInDb,servingsPerContainerPresentInInput,activeIngredientsPresentInArtifacts,activeIngredientsPresentInDb,activeIngredientsPresentInInput,ingredientAmountsPresentInArtifacts,ingredientAmountsPresentInDb,ingredientAmountsPresentInInput,otherIngredientsPresent,suggestedUsePresent,warningsPresent,coaPresent,pricingPresent,inventoryPresent,copywritingSupplementFactsMissingFlag,copywritingIngredientFactsMissingFlag,copywritingMissingDataNotices,validationIngredientMatchingReadiness,validationProductEditorFactsReadiness,globalValidationStatus,incorrectlyClassifiedSupplementFactsMissing,labelImageEvidenceButNoStructuredFacts,aiLabelTextAvailableButInputMissing,structuredFactsInArtifactsButDbMissing,structuredFactsInDbButInputMissing,sourceDataInSupplierSnapshotButNotInput,auditCategory,suspectedRootCause,recommendedFixLane
roc001,ROC001,ROC001,ROC001,matched,unknown,supplier-backed,null,null,false,0,false,false,false,unavailable,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,"[""COA missing."",""Pricing missing."",""Inventory missing."",""Supplement Facts missing.""]",blocked,blocked,blocked,false,false,false,false,false,false,F,true_missing_source_data,true_missing_source_data
roc002,ROC002,ROC002,ROC002,matched,unknown,supplier-backed,null,null,false,0,false,false,false,unavailable,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,"[""COA missing."",""Pricing missing."",""Inventory missing."",""Supplement Facts missing.""]",blocked,blocked,blocked,false,false,false,false,false,false,F,true_missing_source_data,true_missing_source_data
roc004,ROC004,ROC004,ROC004,matched,unknown,supplier-backed,null,null,false,0,false,false,false,unavailable,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,"[""COA missing."",""Pricing missing."",""Inventory missing."",""Supplement Facts missing.""]",blocked,blocked,blocked,false,false,false,false,false,false,F,true_missing_source_data,true_missing_source_data
roc006,ROC006,ROC006,ROC006,matched,unknown,supplier-backed,null,null,false,0,false,false,false,unavailable,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,"[""COA missing."",""Pricing missing."",""Inventory missing."",""Supplement Facts missing.""]",blocked,blocked,blocked,false,false,false,false,false,false,F,true_missing_source_data,true_missing_source_data
roc008,ROC008,ROC008,ROC008,matched,unknown,supplier-backed,null,null,false,0,false,false,false,unavailable,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,"[""COA missing."",""Pricing missing."",""Inventory missing."",""Supplement Facts missing.""]",blocked,blocked,blocked,false,false,false,false,false,false,F,true_missing_source_data,true_missing_source_data
roc009,ROC009,ROC009,ROC009,matched,unknown,supplier-backed,null,null,false,0,false,false,false,unavailable,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,"[""COA missing."",""Pricing missing."",""Inventory missing."",""Supplement Facts missing.""]",blocked,blocked,blocked,false,false,false,false,false,false,F,true_missing_source_data,true_missing_source_data
pump-non-stim-pre-workout-cherry-blast-312g-w-natural-flavor,Pump Non-Stim Pre-Workout Cherry Blast 312g w/ Natural Flavor,ROC010,ROC010,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,false,false,false,false,false,false,true,true,false,true,true,false,false,false,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",needs_review,blocked,blocked,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
non-stim-pump-pre-workout-pineapple-312-5g-w-natural-flavor,Non-Stim Pump Pre-Workout: Pineapple 312.5g w/ Natural Flavor,ROC011,ROC011,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",blocked,blocked,blocked,true,true,true,false,false,true,C,ai_label_text_mapping_gap,ai_label_text_mapping_gap
pump-pre-workout-citrus-blast-312g-w-natural-flavor,Pump Pre-Workout Citrus Blast 312g w/ Natural Flavor,ROC012,ROC012,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,false,false,false,false,false,false,true,true,false,true,true,false,false,false,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Inventory missing."",""Supplement Facts missing.""]",needs_review,blocked,blocked,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
pre-workout-blast-off-312g-w-natural-flavor,Pre-Workout Blast-Off 312g w/ Natural Flavor,ROC013,ROC013,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,false,false,false,false,false,false,true,true,false,true,true,false,false,false,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",needs_review,blocked,blocked,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
bcaa-eaa-strawberry-candy-300g-w-natural-flavor,BCAA + EAA Strawberry Candy 300g w/Natural Flavor,ROC014,ROC014,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,false,false,false,false,false,false,true,true,false,true,true,false,false,false,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Inventory missing."",""Supplement Facts missing.""]",needs_review,blocked,blocked,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
all-in-one-greens-red-superfood-immune-270g-mixed-berry-w-natural-flavor,All-In/One Greens & Red SuperFood + Immune 270g Mixed Berry w/Natural Flavor,ROC015,ROC015,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,false,false,false,false,false,false,true,true,false,true,true,false,false,false,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",needs_review,blocked,blocked,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
recovery-carb-electrolytes-lemon-lime-1365g,Recovery Carb + Electrolytes: Lemon Lime 1365g,ROC016,ROC016,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",needs_review,blocked,blocked,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
recovery-carb-electrolyte-summer-punch-1365g,Recovery Carb + Electrolyte Summer Punch 1365g,ROC017,ROC017,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",needs_review,blocked,blocked,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
pump-pre-workout-georgia-peach-rings-312g,Pump Pre-Workout Georgia Peach Rings 312g,ROC018,ROC018,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,false,false,false,false,false,false,true,true,false,true,true,false,false,false,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",needs_review,blocked,blocked,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
roc100,ROC100,ROC100,ROC100,matched,unknown,supplier-backed,null,null,false,0,false,false,false,unavailable,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",blocked,blocked,blocked,false,false,false,false,false,false,F,true_missing_source_data,true_missing_source_data
african-mango-ultra-burn-drops,African Mango “Ultra Burn” Drops,ROC102,ROC102,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,false,true,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Inventory missing."",""Supplement Facts missing.""]",ready,ready,blocked,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
best-sellers-blend,Best Sellers Blend,ROC105,ROC105,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,false,true,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",ready,ready,usable_with_warnings,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
bcaa-grape-325g-50-servings,BCAA Grape 325g – 50 servings,ROC107M,ROC107M,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,false,false,false,false,false,false,true,true,false,true,true,false,false,false,false,false,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",needs_review,blocked,blocked,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
bcaa-lemon-lime-325g-50-servings,BCAA Lemon Lime 325g – 50 servings,ROC110M,ROC110M,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,false,false,false,false,false,false,true,true,false,true,true,false,false,false,false,false,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",needs_review,blocked,blocked,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
roc112,ROC112,ROC112,ROC112,matched,unknown,supplier-backed,null,null,false,0,false,false,false,unavailable,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,"[""COA missing."",""Pricing missing."",""Inventory missing."",""Supplement Facts missing.""]",blocked,blocked,blocked,false,false,false,false,false,false,F,true_missing_source_data,true_missing_source_data
6lb-bulk-up-mass-gainer-chocolate-milkshake-w-low-sugar,6lb Bulk Up! Mass Gainer Chocolate Milkshake w/Low Sugar,ROC1120,ROC1120,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,false,false,false,false,false,false,true,true,false,true,true,false,false,false,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",needs_review,blocked,blocked,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
6lb-bulk-up-mass-gainer-vanilla-milkshake-w-low-sugar,6lb Bulk Up! Mass Gainer Vanilla Milkshake w/Low Sugar,ROC1125,ROC1125,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,false,false,false,false,false,false,true,true,false,true,true,false,false,false,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",needs_review,blocked,blocked,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
2-9lb-essential-meal-replacement-protein-chocolate-milkshake-w-0-added-sugar,2.9lb Essential Meal Replacement Protein Chocolate Milkshake w/0% Added Sugar,ROC1205,ROC1205,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,false,false,false,false,false,false,true,true,false,true,true,false,false,false,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",needs_review,blocked,blocked,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
green-coffee-bean-w-gca-800mg,Green Coffee Bean w/GCA - 800mg,ROC121,ROC121,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,false,true,true,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",ready,ready,usable_with_warnings,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
2-9lb-essential-meal-replacement-protein-vanilla-milkshake-w-0-added-sugar,2.9lb Essential Meal Replacement Protein Vanilla Milkshake w/0% Added Sugar,ROC1215,ROC1215,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,false,false,false,false,false,false,true,true,false,true,true,false,false,false,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",needs_review,blocked,blocked,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
oxy-burn,Oxy Burn,ROC123,ROC123,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,false,false,false,false,false,false,true,true,false,true,true,false,false,false,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",needs_review,blocked,blocked,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
raspberry-ketone-ultra-blend,Raspberry Ketone Ultra Blend,ROC126,ROC126,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",ready,ready,usable,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
