sku,productName,supplementFactsStatus,inventoryStatus,coaStatus,msrp,wholesaleCost,missingFields,warningCount
ROC001,,missing,unknown,missing,,,productName|category|pricing|msrp|inventory|coaUrl|labelTemplateUrl|mockupUrl|supplementFacts|provenance,0
ROC002,,missing,unknown,missing,,,productName|category|pricing|msrp|inventory|coaUrl|labelTemplateUrl|mockupUrl|supplementFacts|provenance,0
ROC004,,missing,unknown,missing,,,productName|category|pricing|msrp|inventory|coaUrl|labelTemplateUrl|mockupUrl|supplementFacts|provenance,0
ROC006,,missing,unknown,missing,,,productName|category|pricing|msrp|inventory|coaUrl|labelTemplateUrl|mockupUrl|supplementFacts|provenance,0
ROC008,,missing,unknown,missing,,,productName|category|pricing|msrp|inventory|coaUrl|labelTemplateUrl|mockupUrl|supplementFacts|provenance,0
ROC009,,missing,unknown,missing,,,productName|category|pricing|msrp|inventory|coaUrl|labelTemplateUrl|mockupUrl|supplementFacts|provenance,0
ROC010,Pump Non-Stim Pre-Workout Cherry Blast 312g w/ Natural Flavor,partial,in_stock,available,,23.97,category|msrp,0
ROC011,Non-Stim Pump Pre-Workout: Pineapple 312.5g w/ Natural Flavor,visual_only,in_stock,available,,23.97,category|msrp,0
ROC012,Pump Pre-Workout Citrus Blast 312g w/ Natural Flavor,partial,out_of_stock,available,,22.97,category|msrp,0
ROC013,Pre-Workout Blast-Off 312g w/ Natural Flavor,partial,in_stock,available,,23.97,category|msrp,0
ROC014,BCAA + EAA Strawberry Candy 300g w/Natural Flavor,partial,out_of_stock,available,,20.67,category|msrp,0
ROC015,All-In/One Greens & Red SuperFood + Immune 270g Mixed Berry w/Natural Flavor,partial,in_stock,available,,21.24,category|msrp,0
ROC016,Recovery Carb + Electrolytes: Lemon Lime 1365g,partial,in_stock,available,,19.52,category|msrp,0
ROC017,Recovery Carb + Electrolyte Summer Punch 1365g,partial,in_stock,available,,19.52,category|msrp,0
ROC018,Pump Pre-Workout Georgia Peach Rings 312g,partial,in_stock,available,,24.97,category|msrp,0
ROC100,,missing,in_stock,missing,,,productName|category|pricing|msrp|coaUrl|labelTemplateUrl|mockupUrl|supplementFacts,0
ROC102,African Mango “Ultra Burn” Drops,structured,unknown,available,,,category|pricing|msrp|inventory,0
ROC105,Best Sellers Blend,structured,in_stock,available,,10.32,category|msrp,0
ROC107M,BCAA Grape 325g – 50 servings,partial,in_stock,missing,,22.39,category|msrp|coaUrl,0
ROC110M,BCAA Lemon Lime 325g – 50 servings,partial,in_stock,missing,,22.97,category|msrp|coaUrl,0
ROC112,,missing,unknown,missing,,,productName|category|pricing|msrp|inventory|coaUrl|labelTemplateUrl|mockupUrl|supplementFacts|provenance,0
ROC1120,6lb Bulk Up! Mass Gainer Chocolate Milkshake w/Low Sugar,partial,in_stock,available,,37.34,category|msrp,0
ROC1125,6lb Bulk Up! Mass Gainer Vanilla Milkshake w/Low Sugar,partial,in_stock,available,,37.34,category|msrp,0
ROC1205,2.9lb Essential Meal Replacement Protein Chocolate Milkshake w/0% Added Sugar,partial,in_stock,available,,38.47,category|msrp,0
ROC121,Green Coffee Bean w/GCA - 800mg,structured,in_stock,available,,10.89,category|msrp,0
ROC1215,2.9lb Essential Meal Replacement Protein Vanilla Milkshake w/0% Added Sugar,partial,in_stock,available,,39.97,category|msrp,0
