sku,productName,skuType,validationStatus,hasProductName,hasCategory,hasSupplementFacts,hasPricing,hasInventory,hasCoa,hasLabelTemplate,hasMockup,missingFieldCount,missingFields,blockingDefectCount,warningDefectCount,blockingDefects,warningDefects,notApplicableFields,usableForProductEditor,usableForGenerateIntelligence,usableForImageStudio,usableForChannelOptimization,usableForOptiBay,usableForOptiWal,usableForOptizon,sourceNotes
ROC010,Pump Non-Stim Pre-Workout Cherry Blast 312g w/ Natural Flavor,supplement,blocked,true,false,false,true,true,false,false,false,7,category|coaUrl|estimatedProfit|labelTemplateUrl|mockupUrl|msrp|supplementFactsText,6,0,supplementFacts.servingSize:missing_serving_size|supplementFacts.servingsPerContainer:missing_servings_per_container|supplementFacts.activeIngredients:missing_active_ingredients|assets.coaUrl:missing_coa_url|assets.labelTemplateOrEquivalent:missing_label_template|assets.usableProductAsset:missing_usable_asset,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.otherIngredients,false,false,false,false,false,false,false,
ROC011,Non-Stim Pump Pre-Workout: Pineapple 312.5g w/ Natural Flavor,supplement,blocked,true,false,false,true,true,false,false,false,7,category|coaUrl|estimatedProfit|labelTemplateUrl|mockupUrl|msrp|supplementFactsText,6,0,supplementFacts.servingSize:missing_serving_size|supplementFacts.servingsPerContainer:missing_servings_per_container|supplementFacts.activeIngredients:missing_active_ingredients|assets.coaUrl:missing_coa_url|assets.labelTemplateOrEquivalent:missing_label_template|assets.usableProductAsset:missing_usable_asset,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.otherIngredients,false,false,false,false,false,false,false,
ROC012,Pump Pre-Workout Citrus Blast 312g w/ Natural Flavor,supplement,blocked,true,false,false,true,true,false,false,false,7,category|coaUrl|estimatedProfit|labelTemplateUrl|mockupUrl|msrp|supplementFactsText,6,0,supplementFacts.servingSize:missing_serving_size|supplementFacts.servingsPerContainer:missing_servings_per_container|supplementFacts.activeIngredients:missing_active_ingredients|assets.coaUrl:missing_coa_url|assets.labelTemplateOrEquivalent:missing_label_template|assets.usableProductAsset:missing_usable_asset,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.otherIngredients,false,false,false,false,false,false,false,
ROC013,Pre-Workout Blast-Off 312g w/ Natural Flavor,supplement,blocked,true,false,false,true,true,false,false,false,7,category|coaUrl|estimatedProfit|labelTemplateUrl|mockupUrl|msrp|supplementFactsText,6,0,supplementFacts.servingSize:missing_serving_size|supplementFacts.servingsPerContainer:missing_servings_per_container|supplementFacts.activeIngredients:missing_active_ingredients|assets.coaUrl:missing_coa_url|assets.labelTemplateOrEquivalent:missing_label_template|assets.usableProductAsset:missing_usable_asset,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.otherIngredients,false,false,false,false,false,false,false,
ROC014,BCAA + EAA Strawberry Candy 300g w/Natural Flavor,supplement,blocked,true,false,false,true,true,false,false,false,7,category|coaUrl|estimatedProfit|labelTemplateUrl|mockupUrl|msrp|supplementFactsText,6,0,supplementFacts.servingSize:missing_serving_size|supplementFacts.servingsPerContainer:missing_servings_per_container|supplementFacts.activeIngredients:missing_active_ingredients|assets.coaUrl:missing_coa_url|assets.labelTemplateOrEquivalent:missing_label_template|assets.usableProductAsset:missing_usable_asset,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.otherIngredients,false,false,false,false,false,false,false,
ROC015,All-In/One Greens & Red SuperFood + Immune 270g Mixed Berry w/Natural Flavor,supplement,blocked,true,false,false,true,true,false,false,false,7,category|coaUrl|estimatedProfit|labelTemplateUrl|mockupUrl|msrp|supplementFactsText,6,0,supplementFacts.servingSize:missing_serving_size|supplementFacts.servingsPerContainer:missing_servings_per_container|supplementFacts.activeIngredients:missing_active_ingredients|assets.coaUrl:missing_coa_url|assets.labelTemplateOrEquivalent:missing_label_template|assets.usableProductAsset:missing_usable_asset,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.otherIngredients,false,false,false,false,false,false,false,
ROC016,Recovery Carb + Electrolytes: Lemon Lime 1365g,supplement,blocked,true,false,false,true,true,false,false,false,7,category|coaUrl|estimatedProfit|labelTemplateUrl|mockupUrl|msrp|supplementFactsText,6,0,supplementFacts.servingSize:missing_serving_size|supplementFacts.servingsPerContainer:missing_servings_per_container|supplementFacts.activeIngredients:missing_active_ingredients|assets.coaUrl:missing_coa_url|assets.labelTemplateOrEquivalent:missing_label_template|assets.usableProductAsset:missing_usable_asset,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.otherIngredients,false,false,false,false,false,false,false,
ROC017,Recovery Carb + Electrolyte Summer Punch 1365g,supplement,blocked,true,false,false,true,true,false,false,false,7,category|coaUrl|estimatedProfit|labelTemplateUrl|mockupUrl|msrp|supplementFactsText,6,0,supplementFacts.servingSize:missing_serving_size|supplementFacts.servingsPerContainer:missing_servings_per_container|supplementFacts.activeIngredients:missing_active_ingredients|assets.coaUrl:missing_coa_url|assets.labelTemplateOrEquivalent:missing_label_template|assets.usableProductAsset:missing_usable_asset,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.otherIngredients,false,false,false,false,false,false,false,
ROC018,Pump Pre-Workout Georgia Peach Rings 312g,supplement,blocked,true,false,false,true,true,false,false,false,7,category|coaUrl|estimatedProfit|labelTemplateUrl|mockupUrl|msrp|supplementFactsText,6,0,supplementFacts.servingSize:missing_serving_size|supplementFacts.servingsPerContainer:missing_servings_per_container|supplementFacts.activeIngredients:missing_active_ingredients|assets.coaUrl:missing_coa_url|assets.labelTemplateOrEquivalent:missing_label_template|assets.usableProductAsset:missing_usable_asset,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.otherIngredients,false,false,false,false,false,false,false,
ROC100,,unknown,blocked,false,false,false,false,true,false,false,false,10,category|coaUrl|estimatedProfit|labelTemplateUrl|membershipTierCosts|mockupUrl|msrp|productName|supplementFactsText|wholesaleCost,2,0,productName:missing_product_name|pricing.wholesaleCostOrMembership:missing_pricing_values,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.activeIngredients|supplementFacts.otherIngredients|supplementFacts.servingSize|supplementFacts.servingsPerContainer,false,false,false,false,false,false,false,
ROC102,African Mango “Ultra Burn” Drops,supplement,blocked,true,false,false,false,false,false,false,false,11,category|coaUrl|estimatedProfit|inventoryStatus|labelTemplateUrl|membershipTierCosts|mockupUrl|msrp|rawInventoryValue|supplementFactsText|wholesaleCost,8,0,pricing.wholesaleCostOrMembership:missing_pricing_values|inventory.availability:missing_inventory_availability|supplementFacts.servingSize:missing_serving_size|supplementFacts.servingsPerContainer:missing_servings_per_container|supplementFacts.activeIngredients:missing_active_ingredients|assets.coaUrl:missing_coa_url|assets.labelTemplateOrEquivalent:missing_label_template|assets.usableProductAsset:missing_usable_asset,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.containerSize|supplementFacts.otherIngredients|supplementFacts.productWeight,false,false,false,false,false,false,false,
ROC105,Best Sellers Blend,supplement,blocked,true,false,false,true,true,false,false,false,7,category|coaUrl|estimatedProfit|labelTemplateUrl|mockupUrl|msrp|supplementFactsText,6,0,supplementFacts.servingSize:missing_serving_size|supplementFacts.servingsPerContainer:missing_servings_per_container|supplementFacts.activeIngredients:missing_active_ingredients|assets.coaUrl:missing_coa_url|assets.labelTemplateOrEquivalent:missing_label_template|assets.usableProductAsset:missing_usable_asset,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.containerSize|supplementFacts.otherIngredients|supplementFacts.productWeight,false,false,false,false,false,false,false,
